input_date,weekofyear,input_week_day,puin,cnt
20190821,34,3,1685162081,400
20191001,40,2,3592397569,477
20190922,38,7,1685161147,287
20191012,41,6,1781807945,905
20190901,35,7,1761713410,220
20190913,37,5,1781806734,1028
20190913,37,5,3107361624,187
20190926,39,4,3533876209,149
20190826,35,1,1781809819,1259
20190909,37,1,1781807016,1204
20190816,33,5,1685160674,521
20191015,42,2,1685160674,82
20191013,41,7,3533876209,15
20190916,38,1,2478637939,771
20190913,37,5,1761714245,377
20191016,42,3,3021573833,1182
20191018,42,5,1781810030,1163
20191009,41,3,1685161748,161
20191014,42,1,1781810030,1261
20191015,42,2,1781806909,1223
20191017,42,4,1683952717,1317
20191018,42,5,1781807441,1189
20191016,42,3,1542698720,474
20190924,39,2,2478637939,612
20190819,34,1,3516139149,537
20190817,33,6,1781809449,1104
20191001,40,2,1781810030,1453
20191005,40,6,1781810497,777
20191010,41,4,1781806734,1187
20191007,41,1,1001000286087,208
20190904,36,3,1781806667,1283
20190930,40,1,1781806909,1031
20190817,33,6,3516139149,464
20190817,33,6,1001000286087,14235
20190906,36,5,1685161793,352
20190911,37,3,3321779464,321
20190912,37,4,1761714989,460
20190915,37,7,3592397569,693
20190817,33,6,1781807016,1213
20190906,36,5,1781806251,1546
20191002,40,3,1781807216,715
20191006,40,7,2931323584,400
20190829,35,4,3357604587,550
20191014,42,1,1685159830,73
20191012,41,6,2713129639,211886
20191015,42,2,1685159830,77
20191002,40,3,3021573833,796
20190822,34,4,2478637939,626
20190902,36,1,2164312964,315
20190911,37,3,1781806251,1403
20190912,37,4,1781810497,1217
20190927,39,5,3592397569,1437
20190829,35,4,3507123484,601
20190918,38,3,3531033244,489
20190926,39,4,3473823790,1535
20191016,42,3,3507123484,391
20190831,35,6,1761714989,345
20190907,36,6,1761713334,320
20190913,37,5,1761714609,346
20190919,38,4,1781806251,1271
20190821,34,3,1685161374,423
20190914,37,6,1761714609,336
20190821,34,3,1761713149,641
20191001,40,2,3321779464,139
20190929,39,7,3107361624,126
20190915,37,7,1685159830,232
20190825,34,7,1992602239,4919
20190915,37,7,1781807461,918
20190929,39,7,1542698720,361
20191005,40,6,1685162081,224
20191016,42,3,1685161287,73
20190912,37,4,1761713014,440
20190823,34,5,3107361624,967
20190906,36,5,3428867428,327
20190901,35,7,1761713844,233
20191007,41,1,1685161374,121
20190903,36,2,1781806667,1356
20190906,36,5,3321779464,429
20190911,37,3,1992602239,4229
20190930,40,1,1781807461,1095
20190825,34,7,1761714552,525
20191006,40,7,1781808703,876
20191017,42,4,1781806909,1076
20190826,35,1,1001000286087,279
20190925,39,3,1781810497,1333
20191011,41,5,1685161819,94
20190825,34,7,1542698720,202
20190910,37,2,3533876209,503
20190817,33,6,1781807945,1072
20190818,33,7,1781809788,1080
20190822,34,4,1781809449,1422
20190829,35,4,1542698720,487
20190902,36,1,1781808471,1338
20190926,39,4,1781806734,1253
20190828,35,3,3507123484,814
20190905,36,4,1685159830,283
20190917,38,2,1761713149,103
20190928,39,6,1685160637,198
20190908,36,7,1001000037396,404
20191008,41,2,1781806909,1285
20191006,40,7,1685160637,172
20190822,34,4,1761713844,669
20190829,35,4,2713129639,270868
20190904,36,3,1781810497,1322
20190923,39,1,1781807461,1279
20190823,34,5,2931323584,418
20191011,41,5,3516139149,412
20191005,40,6,3321779464,90
20191007,41,1,1685159830,118
20191005,40,6,3473823790,890
20191002,40,3,1685161819,248
20190920,38,5,1781807441,1188
20190920,38,5,2931323584,395
20190831,35,6,1685161819,252
20190913,37,5,1001000286087,65
20190921,38,6,3107361624,10
20190817,33,6,1781806734,1116
20190822,34,4,1761713838,596
20190913,37,5,1992602239,2819
20190906,36,5,3516139149,486
20190911,37,3,1761713334,386
20190914,37,6,1761714540,306
20190918,38,3,1685162081,247
20190908,36,7,1761713410,342
20191018,42,5,1685162081,95
20190820,34,2,1001000286087,8623
20190919,38,4,3021573833,1278
20190921,38,6,1781806909,963
20190829,35,4,2680486890,494
20190915,37,7,2680486890,494
20190915,37,7,1685161793,219
20190829,35,4,1685159830,227
20191013,41,7,1992602239,69
20190910,37,2,1761713334,429
20190906,36,5,1761713149,328
20191008,41,2,1781807016,1195
20191014,42,1,1001000286087,1008
20190831,35,6,1781810497,1074
20190923,39,1,1781807441,1220
20190927,39,5,3473823790,1030
20190829,35,4,1761713149,522
20190917,38,2,1761715749,114
20190828,35,3,1761713844,518
20190905,36,4,1761715460,415
20190826,35,1,1685162081,62
20190828,35,3,1761713334,517
20190906,36,5,1761713334,372
20190918,38,3,1781807016,1302
20190822,34,4,2680486890,417
20190915,37,7,3516139149,570
20190926,39,4,2269829235,452
20191006,40,7,1781806734,866
20191015,42,2,1781807461,1175
20191004,40,5,1685160674,210
20191016,42,3,3321779464,159
20190822,34,4,1781807216,1373
20190830,35,5,3107361624,1146
20190828,35,3,2164312964,459
20191008,41,2,3531033244,359
20190905,36,4,1761713149,382
20190929,39,7,1685160637,211
20190916,38,1,1761714540,372
20190827,35,2,1761714245,569
20190929,39,7,1001000037396,138
20191002,40,3,2478637939,1636
20191007,41,1,1781808143,869
20191007,41,1,1685160674,120
20190817,33,6,1761714946,649
20190921,38,6,1992602239,3845
20190903,36,2,1781809449,1295
20191008,41,2,3428867428,194
20190917,38,2,1761714245,108
20190828,35,3,1992602239,3829
20190819,34,1,3321779464,505
20190824,34,6,1761714552,590
20191006,40,7,1781806251,846
20191013,41,7,1685161147,36
20191016,42,3,1781809449,1134
20191001,40,2,1781808832,1469
20191002,40,3,1781810443,744
20190820,34,2,3531033244,545
20190822,34,4,1781809788,1358
20190827,35,2,1781806251,1365
20190929,39,7,1781808832,1165
20190921,38,6,1685161819,280
20190916,38,1,1001000286087,253
20190824,34,6,1685161819,24
20190907,36,6,1761713149,299
20190925,39,3,1781807016,1297
20191003,40,4,3507123484,241
20191014,42,1,2713129639,209746
20191015,42,2,1781809788,1309
20191010,41,4,3473823790,1205
