s_cont_stat_date,content_type,src,union_chann_id,today_ruku_cont_cnt
2020-01-10,图文,52,120,2586
2019-12-16,图文,14,123,30373
2019-12-24,图文,52,\N,109783
2019-12-28,图文,14,126,79675
2020-01-11,图文,14,134,39973
2020-01-12,图文,14,129,2455
2020-01-16,图文,14,113,13807
2020-01-28,图文,14,127,12001
2020-02-06,图文,14,111,61793
2019-12-08,图文,22,121,2031
2019-12-16,图文,14,132,64686
2019-12-28,图文,14,117,48149
2019-12-29,图文,14,123,18144
2020-01-06,图文,14,116,50439
2020-01-17,图文,14,126,117047
2020-01-23,图文,14,122,17954
2020-01-25,图文,14,141,20125
2020-01-27,图文,14,132,45280
2020-01-28,图文,14,125,6721
2020-02-14,图文,52,115,780
2020-02-18,图文,52,108,3075
2020-02-16,图文,14,106,28246
2020-02-19,图文,14,132,68347
2020-03-01,图文,14,104,35384
2020-02-11,图文,14,124,44158
2020-02-15,图文,14,\N,151010
2020-02-16,图文,14,121,135524
2020-02-26,图文,14,133,104410
2020-02-29,图文,14,102,9169
2020-03-01,图文,14,124,33909
2020-02-11,图文,52,\N,119945
2020-02-12,图文,14,120,146021
2020-02-20,图文,22,112,8219
2020-02-23,图文,14,122,14398
2020-02-10,图文,14,125,10781
2020-02-22,图文,14,110,19505
2020-02-29,图文,14,141,9782
2020-02-12,图文,14,102,10025
2019-12-10,图文,52,114,5957
2020-01-20,图文,52,110,3706
2019-12-07,图文,52,112,7723
2019-12-23,图集,49,108,857
2019-12-05,图文,14,137,12497
2019-12-10,图文,14,117,57214
2020-01-16,图文,14,140,7883
2020-01-20,图文,14,108,9280
2019-12-12,图文,14,101,30181
2019-12-18,图文,14,132,62073
2020-01-01,图文,14,100,80592
2020-01-09,图文,14,113,20744
2020-01-13,图文,14,127,19524
2020-01-26,图文,14,111,32032
2020-02-11,图文,14,116,39487
2020-02-15,图文,14,116,42006
2020-02-17,图文,14,125,13936
2020-02-24,图文,14,110,20574
2020-02-28,图文,14,128,14594
2020-02-29,图文,14,126,83066
2019-12-05,图文,52,\N,111194
2019-12-10,图文,14,109,15217
2019-12-13,图文,14,\N,64235
2019-12-31,图文,14,125,24687
2020-01-01,图文,14,137,9222
2020-01-07,图文,65,114,3825
2020-01-10,图文,14,141,24314
2020-01-14,图文,14,127,19732
2020-02-11,图文,67,118,64
2020-02-13,图文,52,112,33103
2020-02-28,图文,14,111,93529
2020-02-11,图文,65,104,2313
2020-02-12,图文,14,114,48660
2020-02-21,图文,14,133,103212
2020-02-12,图文,14,128,10707
2020-02-14,图文,14,130,19750
2020-02-19,图文,14,133,101436
2020-02-22,图文,14,124,26939
2020-02-27,图文,14,141,9211
2019-12-11,图文,52,123,3719
2020-01-13,图文,52,114,5144
2020-02-25,图文,14,127,18286
2020-02-27,图文,14,120,144566
2020-03-01,图文,14,127,19480
2019-12-05,图文,14,116,60461
2019-12-07,图文,14,122,28096
2019-12-07,图文,14,123,25093
2019-12-10,图文,14,134,45458
2019-12-14,图文,14,131,5975
2019-12-16,图文,14,111,87932
2019-12-25,图文,14,133,123221
2020-01-10,图文,14,100,82997
2020-01-13,图文,14,120,118245
2020-01-25,图文,14,132,43258
2020-01-26,图文,14,101,8099
2020-02-22,图文,65,125,744
2020-02-13,图文,14,134,42608
2020-02-18,图文,14,140,7650
2020-02-22,图文,14,100,103550
2020-03-01,图文,14,111,54731
2020-02-13,图文,14,106,26509
2020-02-22,图文,14,126,82891
2020-02-23,图文,14,120,105041
2020-02-27,图文,14,106,24536
2020-02-28,图文,14,103,5864
2020-02-28,图文,14,122,16812
2020-02-28,图文,14,104,39505
2019-12-18,图文,65,104,4463
2019-12-10,图文,52,\N,108545
2019-12-19,图文,14,104,40787
