f_date,input_date,s_input_date,week_of_year,input_week_day,puin,cnt
20191022,20190924,2019-09-24,39,2,1643982571,499
20191022,20190916,2019-09-16,38,1,1921425583,400
20191022,20190822,2019-08-22,34,4,3592397569,303
20191022,20190907,2019-09-07,36,6,1656171864,500
20191022,20191014,2019-10-14,42,1,1781807945,1209
20191022,20191014,2019-10-14,42,1,1781808719,1211
20191022,20191015,2019-10-15,42,2,1643982571,497
20191022,20190821,2019-08-21,34,3,1598232245,98
20191022,20191012,2019-10-12,41,6,2269829235,60
20191022,20190917,2019-09-17,38,2,1781806734,1375
20191022,20190926,2019-09-26,39,4,1781807216,1278
20191022,20191005,2019-10-05,40,6,1781808703,681
20191022,20190907,2019-09-07,36,6,1694814142,498
20191022,20190925,2019-09-25,39,3,3332834764,491
20191022,20191008,2019-10-08,41,2,2158351255,621
20191022,20191020,2019-10-20,42,7,731289971,500
20191022,20191011,2019-10-11,41,5,1921425583,500
20191022,20190827,2019-08-27,35,2,1759863460,823
20191022,20190919,2019-09-19,38,4,1542698720,472
20191022,20190824,2019-08-24,34,6,1781808143,814
20191022,20190831,2019-08-31,35,6,1001001877189,500
20191022,20190928,2019-09-28,39,6,2153886484,214
20191022,20190904,2019-09-04,36,3,2478637939,307
20191022,20190928,2019-09-28,39,6,2164312964,235
20191022,20190926,2019-09-26,39,4,1656171864,498
20191022,20191013,2019-10-13,41,7,3021573833,1139
20191022,20191020,2019-10-20,42,7,2158351255,618
20191022,20191008,2019-10-08,41,2,3531033244,359
20191022,20190822,2019-08-22,34,4,3107361624,773
20191022,20190903,2019-09-03,36,2,2931323584,308
20191022,20190910,2019-09-10,37,2,3021573833,1218
20191022,20190914,2019-09-14,37,6,1660211396,500
20191022,20190916,2019-09-16,38,1,2478637939,771
20191022,20190921,2019-09-21,38,6,226864582,500
20191022,20190909,2019-09-09,37,1,1921431481,207
20191022,20190921,2019-09-21,38,6,1833528556,500
20191022,20191012,2019-10-12,41,6,1504400350,172
20191022,20190826,2019-08-26,35,1,1781807945,1223
20191022,20190828,2019-08-28,35,3,1759863460,828
20191022,20190928,2019-09-28,39,6,1759863460,858
20191022,20190830,2019-08-30,35,5,1759863460,889
20191022,20191012,2019-10-12,41,6,1655241805,500
20191022,20190903,2019-09-03,36,2,1701790981,500
20191022,20190820,2019-08-20,34,2,1781808471,1727
20191022,20190826,2019-08-26,35,1,1781809819,1259
20191022,20190901,2019-09-01,35,7,3021573833,1021
20191022,20191008,2019-10-08,41,2,1694814142,498
20191022,20191015,2019-10-15,42,2,1803170283,500
20191022,20191019,2019-10-19,42,6,1694814142,90
20191022,20191019,2019-10-19,42,6,1781807461,1032
20191022,20191001,2019-10-01,40,2,1660211396,500
20191022,20191008,2019-10-08,41,2,3428867428,194
20191022,20191011,2019-10-11,41,5,1848146723,1299
20191022,20190911,2019-09-11,37,3,1781807945,1374
20191022,20190829,2019-08-29,35,4,1701790981,499
20191022,20191008,2019-10-08,41,2,1921423202,500
20191022,20191014,2019-10-14,42,1,1781810443,1253
20191022,20190816,2019-08-16,33,5,2680486890,504
20191022,20190831,2019-08-31,35,6,3592397569,1771
20191022,20190929,2019-09-29,39,7,1781808832,1165
20191022,20191012,2019-10-12,41,6,1781809788,926
20191022,20191012,2019-10-12,41,6,1921424720,500
20191022,20191021,2019-10-21,43,1,2164312964,569
20191022,20190830,2019-08-30,35,5,3531033244,385
20191022,20190923,2019-09-23,39,1,2269829235,367
20191022,20191002,2019-10-02,40,3,1781806734,676
20191022,20191001,2019-10-01,40,2,1781807461,1365
20191022,20190902,2019-09-02,36,1,1001001877189,500
20191022,20190903,2019-09-03,36,2,1781810030,1278
20191022,20190906,2019-09-06,36,5,1781806667,1442
20191022,20190921,2019-09-21,38,6,1781807016,998
20191022,20191001,2019-10-01,40,2,1001002218595,500
20191022,20190826,2019-08-26,35,1,1001001877189,498
20191022,20190923,2019-09-23,39,1,1659296564,500
20191022,20190915,2019-09-15,37,7,3516139149,570
20191022,20190918,2019-09-18,38,3,3201287628,500
20191022,20191007,2019-10-07,41,1,1781807441,893
20191022,20190819,2019-08-19,34,1,3201287628,67
20191022,20191009,2019-10-09,41,3,1660211396,54
20191022,20191014,2019-10-14,42,1,1781807216,1140
20191022,20190905,2019-09-05,36,4,2931323584,285
20191022,20190918,2019-09-18,38,3,1781808719,1346
20191022,20190918,2019-09-18,38,3,1598232245,494
20191022,20190923,2019-09-23,39,1,1542698720,359
20191022,20190925,2019-09-25,39,3,1598232245,500
20191022,20190820,2019-08-20,34,2,2164312964,455
20191022,20191016,2019-10-16,42,3,1001000037396,296
20191022,20190927,2019-09-27,39,5,2976786729,745
20191022,20190830,2019-08-30,35,5,3321779464,320
20191022,20190919,2019-09-19,38,4,1783638386,471
20191022,20190820,2019-08-20,34,2,1781806909,1587
20191022,20190908,2019-09-08,36,7,1781809819,1250
20191022,20190904,2019-09-04,36,3,1781808143,1345
20191022,20191012,2019-10-12,41,6,1781808719,958
20191022,20191013,2019-10-13,41,7,1659296564,500
20191022,20190921,2019-09-21,38,6,1001000286250,374
20191022,20190913,2019-09-13,37,5,2252326496,237
20191022,20191005,2019-10-05,40,6,2269829235,119
20191022,20191020,2019-10-20,42,7,2153886484,136
20191022,20191019,2019-10-19,42,6,1781810030,1018
20191022,20190821,2019-08-21,34,3,1781807461,1331
20191022,20190909,2019-09-09,37,1,3617694639,500
20191022,20190926,2019-09-26,39,4,2713129639,242363
20191022,20190901,2019-09-01,35,7,1655241805,504
20191022,20190908,2019-09-08,36,7,1781807461,1122
20191022,20190906,2019-09-06,36,5,1701790981,498
20191022,20190822,2019-08-22,34,4,3507123484,423
20191022,20190904,2019-09-04,36,3,1781806251,1336
20191022,20190919,2019-09-19,38,4,2713129639,219208
20191022,20190930,2019-09-30,40,1,1660211396,500
20191022,20191010,2019-10-10,41,4,3357604587,235
20191022,20190908,2019-09-08,36,7,1001002218595,6
20191022,20190827,2019-08-27,35,2,3464284705,452
20191022,20190909,2019-09-09,37,1,1921423202,500
20191022,20190919,2019-09-19,38,4,1781806734,1290
20191022,20191008,2019-10-08,41,2,1781806667,1318
20191022,20190818,2019-08-18,33,7,2153886484,165
20191022,20191010,2019-10-10,41,4,1781808471,1191
20191022,20190919,2019-09-19,38,4,1001000197107,321
20191022,20191020,2019-10-20,42,7,1781807216,978
20191022,20190907,2019-09-07,36,6,2478637939,299
20191022,20191003,2019-10-03,40,4,1783638386,494
20191022,20191006,2019-10-06,40,7,3507123484,213
20191022,20191005,2019-10-05,40,6,1693921771,499
20191022,20191016,2019-10-16,42,3,3357604587,146
20191022,20190821,2019-08-21,34,3,1781808719,1360
20191022,20190910,2019-09-10,37,2,3592397569,1243
20191022,20191009,2019-10-09,41,3,1001000196957,500
20191022,20190905,2019-09-05,36,4,2269829235,199
20191022,20190908,2019-09-08,36,7,1781807945,1197
20191022,20190827,2019-08-27,35,2,1686044523,500
20191022,20190829,2019-08-29,35,4,3516139149,352
20191022,20190929,2019-09-29,39,7,1694814142,50
20191022,20190817,2019-08-17,33,6,1783638386,51
20191022,20190825,2019-08-25,34,7,1781807016,839
20191022,20190904,2019-09-04,36,3,1781808703,1239
20191022,20190907,2019-09-07,36,6,1921426906,71
20191022,20191002,2019-10-02,40,3,2713129639,217512
20191022,20190914,2019-09-14,37,6,3428867428,232
20191022,20190907,2019-09-07,36,6,3428867428,331
20191022,20190918,2019-09-18,38,3,1001001962555,500
20191022,20190929,2019-09-29,39,7,1921421883,500
20191022,20191003,2019-10-03,40,4,2931323584,368
20191022,20191007,2019-10-07,41,1,1701790981,242
20191022,20190820,2019-08-20,34,2,3592397569,707
20191022,20190826,2019-08-26,35,1,1921424720,487
20191022,20190903,2019-09-03,36,2,1781810443,1265
20191022,20190908,2019-09-08,36,7,3357604587,1285
20191022,20190930,2019-09-30,40,1,1701790981,124
20191022,20190818,2019-08-18,33,7,1781806909,1187
20191022,20190903,2019-09-03,36,2,1542698720,451
20191022,20190927,2019-09-27,39,5,3357604587,154
20191022,20191019,2019-10-19,42,6,1781807016,1040
20191022,20191006,2019-10-06,40,7,1781807945,783
20191022,20191022,2019-10-22,43,2,1001000037396,317
20191022,20190924,2019-09-24,39,2,1683952717,1403
20191022,20190830,2019-08-30,35,5,2153886484,412
20191022,20191019,2019-10-19,42,6,1992602239,114
20191022,20191011,2019-10-11,41,5,1921426906,499
20191022,20190917,2019-09-17,38,2,3464284705,492
20191022,20190924,2019-09-24,39,2,1001000196957,500
20191022,20190927,2019-09-27,39,5,1660211396,500
20191022,20190914,2019-09-14,37,6,1781810497,904
20191022,20190926,2019-09-26,39,4,1140173450,475
20191022,20190824,2019-08-24,34,6,3516139149,344
20191022,20190831,2019-08-31,35,6,3531033244,349
20191022,20190829,2019-08-29,35,4,2478637939,136
20191022,20190909,2019-09-09,37,1,1781809788,1289
20191022,20190920,2019-09-20,38,5,2606863014,500
20191022,20190824,2019-08-24,34,6,1598232245,50
20191022,20191001,2019-10-01,40,2,1655241805,501
20191022,20191009,2019-10-09,41,3,1781810497,1199
