union_chann_cn,puin,vv,zan_cnt,shoucang_cnt,share_cnt,f_fans_cnt,youzhi_cnt
旅游,2926914255,78377,958,13,16,635,0
旅游,2955967382,86699,1149,22,37,260,1
旅游,1001001040074,2347664,23212,174,266,1075,0
旅游,1001002742629,8243110,136321,3859,7749,960,0
旅游,1001004074941,3855849,47511,103,183,287,0
旅游,3523162756,239448,522,2,95,25125,0
旅游,1001000846406,72045,233,6,25,185,0
旅游,1001001823103,1381377,3774,96,590,0,0
旅游,1528033440,53253,242,34,55,0,0
旅游,2394474335,74032,26,0,10,0,0
旅游,1001001271845,41886,86,4,24,0,0
旅游,1352270745,33188,27,0,18,0,0
旅游,3496926772,30425,134,1,86,190512,0
旅游,1779776096,37182,71,2,31,0,0
旅游,3249184362,68119,346,7,55,9407,0
旅游,3509895945,30562,150,9,71,0,0
旅游,1517962981,58327,211,1,48,6110,0
旅游,1551585138,46197,224,3,65,0,0
旅游,2995609376,65340,91,0,54,0,0
旅游,1643972410,39255,32,0,20,0,0
旅游,1501049840,140170,339,11,287,0,0
旅游,1001000846594,314385,1169,10,107,0,0
旅游,2170655340,90373,681,5,33,0,0
旅游,2430456082,131680,279,1,140,0,0
旅游,3338664187,75723,377,4,338,0,0
旅游,3337036739,172575,341,3,348,0,0
旅游,1525894470,26195,39,3,20,0,0
旅游,1545695945,40736,219,2,64,16080,0
旅游,1729564207,352311,900,31,130,0,0
旅游,2123857619,30019,29,2,6,0,2
旅游,1846825847,48334,190,0,19,0,0
旅游,1504982511,157375,553,0,78,0,1
旅游,3522260753,36245,73,1,11,0,0
旅游,2462871409,101515,456,13,68,0,0
旅游,2476586872,27596,82,2,11,0,0
旅游,898802624,30129,152,2,38,0,0
旅游,211671635,73086,93,0,118,0,0
旅游,3030483552,53425,221,3,134,0,0
旅游,3217910939,29985,68,0,24,0,35
旅游,1001001043433,201598,769,15,75,0,0
旅游,1570065348,49431,96,0,76,0,0
旅游,2665387339,516159,1719,60,414,0,0
旅游,1001000037192,36001,61,0,43,0,0
旅游,1678266754,166695,102,14,66,0,0
旅游,1001001726769,2350624,8425,89,856,0,0
旅游,3326136035,41930,35,1,30,0,0
旅游,1001000031829,226627,951,29,186,0,0
旅游,481067728,58484,81,2,157,0,0
旅游,1508987050,34233,29,2,22,0,0
旅游,3271433695,95708,279,3,124,0,0
旅游,1503978399,34763,35,0,8,0,0
旅游,1001001042962,71834,282,8,34,0,0
旅游,1653224934,297355,2503,34,691,0,0
旅游,3297524368,81662,104,3,101,0,0
旅游,706909247,34948,63,1,24,0,0
旅游,1547605732,159185,507,6,187,897,0
旅游,2494734148,128238,291,3,43,0,15
旅游,1516937699,95961,146,3,49,0,0
旅游,2847446572,55981,336,8,225,0,0
旅游,1001000221434,142962,251,2,17,0,3
旅游,1700851241,41080,244,0,17,7210,1
旅游,3093467948,28409,119,2,45,0,0
旅游,3243622119,29702,82,3,27,0,0
旅游,3504723361,28604,47,0,27,0,0
旅游,230684332,55628,68,1,57,0,0
旅游,1486541859,64805,72,4,66,0,0
旅游,3079567064,62273,164,7,39,0,3
旅游,1001003213323,54208,156,1,35,0,0
旅游,3134826188,36578,168,8,24,0,0
旅游,1521952982,414108,726,1,78,0,0
旅游,1535557007,189238,261,2,592,0,0
旅游,1565272145,46168,110,2,7,0,0
旅游,1773797081,84942,123,1,54,0,0
旅游,1923343282,59734,176,7,25,0,0
旅游,2248240371,50983,170,3,41,0,0
旅游,1486551289,41020,77,1,6,944,0
旅游,1712087302,31990,41,4,32,0,0
旅游,2212856833,71668,268,6,93,0,0
旅游,2845749109,48578,45,2,39,0,0
旅游,1001000448280,87373,378,9,35,644,0
旅游,1512991778,68121,123,0,37,0,0
旅游,3303649083,40592,115,0,33,0,0
旅游,3470208944,1011365,2623,6,347,0,0
旅游,1740747796,58077,729,16,51,0,0
