f_date,cnt_stat_date,s_cnt_stat_date,cnt_stat_week_of_year,cnt_stat_week_day,union_chann_id,cnt
20191030,20190930,2019-09-30,40,1,108,37345
20191030,20191024,2019-10-24,43,4,132,87078
20191030,20190923,2019-09-23,39,1,108,39811
20191030,20190925,2019-09-25,39,3,102,22239
20191030,20190908,2019-09-08,36,7,132,103631
20191030,20191028,2019-10-28,44,1,125,24109
20191030,20190914,2019-09-14,37,6,121,105405
20191030,20190930,2019-09-30,40,1,118,48111
20191030,20190921,2019-09-21,38,6,127,29114
20191030,20190912,2019-09-12,37,4,102,20126
20191030,20190925,2019-09-25,39,3,130,29782
20191030,20191015,2019-10-15,42,2,132,92178
20191030,20191026,2019-10-26,43,6,101,35072
20191030,20191025,2019-10-25,43,5,101,38049
20191030,20191012,2019-10-12,41,6,121,131843
20191030,20191028,2019-10-28,44,1,102,15712
20191030,20191009,2019-10-09,41,3,118,47431
20191030,20191008,2019-10-08,41,2,101,53179
20191030,20190911,2019-09-11,37,3,101,48289
20191030,20191006,2019-10-06,40,7,121,113839
20191030,20191020,2019-10-20,42,7,125,16985
20191030,20191004,2019-10-04,40,5,132,91715
20191030,20190911,2019-09-11,37,3,130,27882
20191030,20191029,2019-10-29,44,2,107,10408
20191030,20191028,2019-10-28,44,1,118,50280
20191030,20191020,2019-10-20,42,7,118,40268
20191030,20191022,2019-10-22,43,2,101,40252
20191030,20191016,2019-10-16,42,3,108,38421
20191030,20190905,2019-09-05,36,4,107,11216
20191030,20190918,2019-09-18,38,3,121,138266
20191030,20191010,2019-10-10,41,4,108,35596
20191030,20190921,2019-09-21,38,6,118,37349
20191030,20191008,2019-10-08,41,2,132,102837
20191030,20190920,2019-09-20,38,5,125,25842
20191030,20191029,2019-10-29,44,2,101,40242
20191030,20190917,2019-09-17,38,2,101,50070
20191030,20190925,2019-09-25,39,3,121,138998
20191030,20191031,2019-10-31,44,4,125,14
20191030,20191026,2019-10-26,43,6,132,81739
20191030,20190925,2019-09-25,39,3,107,10905
20191030,20190906,2019-09-06,36,5,107,10765
20191030,20190916,2019-09-16,38,1,127,34503
20191030,20190930,2019-09-30,40,1,107,11615
20191030,20190919,2019-09-19,38,4,102,17353
20191030,20191012,2019-10-12,41,6,108,35376
20191030,20190916,2019-09-16,38,1,130,26179
20191030,20190922,2019-09-22,38,7,125,28791
20191030,20191016,2019-10-16,42,3,132,94165
20191030,20190924,2019-09-24,39,2,125,31316
20191030,20191019,2019-10-19,42,6,125,20333
20191030,20191015,2019-10-15,42,2,127,31674
20191030,20191007,2019-10-07,41,1,108,31666
20191030,20191009,2019-10-09,41,3,132,102691
20191030,20191021,2019-10-21,43,1,118,47862
20191030,20191003,2019-10-03,40,4,121,99764
20191030,20190905,2019-09-05,36,4,130,27217
20191030,20190923,2019-09-23,39,1,130,38013
20191030,20190915,2019-09-15,37,7,108,34041
20191030,20191030,2019-10-30,44,3,127,26489
20191030,20190919,2019-09-19,38,4,108,36482
20191030,20190908,2019-09-08,36,7,130,19495
20191030,20191013,2019-10-13,41,7,101,45125
20191030,20191021,2019-10-21,43,1,127,30702
20191030,20190922,2019-09-22,38,7,121,179533
20191030,20190911,2019-09-11,37,3,107,11488
20191030,20191004,2019-10-04,40,5,107,10982
20191030,20190914,2019-09-14,37,6,107,10759
20191030,20191013,2019-10-13,41,7,132,89214
20191030,20191016,2019-10-16,42,3,102,21007
20191030,20191019,2019-10-19,42,6,102,18715
20191030,20190906,2019-09-06,36,5,108,42151
20191030,20190913,2019-09-13,37,5,108,32383
20191030,20191023,2019-10-23,43,3,107,10378
20191030,20191022,2019-10-22,43,2,108,23384
20191030,20191023,2019-10-23,43,3,125,30058
20191030,20190910,2019-09-10,37,2,107,12040
20191030,20191012,2019-10-12,41,6,101,49947
20191030,20191005,2019-10-05,40,6,118,37314
20191030,20190909,2019-09-09,37,1,121,137662
20191030,20190918,2019-09-18,38,3,132,96571
20191030,20191027,2019-10-27,43,7,130,15711
20191030,20191026,2019-10-26,43,6,108,16609
20191030,20190915,2019-09-15,37,7,107,10481
20191030,20191014,2019-10-14,42,1,132,90917
20191030,20191023,2019-10-23,43,3,118,47416
20191030,20191005,2019-10-05,40,6,102,18510
20191030,20191004,2019-10-04,40,5,108,32653
20191030,20191002,2019-10-02,40,3,118,36343
20191030,20191010,2019-10-10,41,4,130,24142
20191030,20190912,2019-09-12,37,4,107,10779
20191030,20190916,2019-09-16,38,1,118,53133
20191030,20191024,2019-10-24,43,4,127,28723
20191030,20190928,2019-09-28,39,6,125,23740
20191030,20190912,2019-09-12,37,4,108,37900
20191030,20190910,2019-09-10,37,2,101,49427
20191030,20191021,2019-10-21,43,1,121,137804
20191030,20190922,2019-09-22,38,7,132,133909
20191030,20190924,2019-09-24,39,2,130,33621
20191030,20190915,2019-09-15,37,7,102,16160
20191030,20191010,2019-10-10,41,4,127,32424
20191030,20191018,2019-10-18,42,5,118,49597
